位階排名,牌型,牌面,花色變體數,位置起(1-based),位置訖,比它弱的手數
1,亂,4+3+2,64,1,64,0
2,亂,5+3+2,64,65,128,64
3,亂,5+4+2,64,129,192,128
4,亂,5+4+3,64,193,256,192
5,亂,6+3+2,64,257,320,256
6,亂,6+4+2,64,321,384,320
7,亂,6+4+3,64,385,448,384
8,亂,6+5+2,64,449,512,448
9,亂,6+5+3,64,513,576,512
10,亂,6+5+4,64,577,640,576
11,亂,7+3+2,64,641,704,640
12,亂,7+4+2,64,705,768,704
13,亂,7+4+3,64,769,832,768
14,亂,7+5+2,64,833,896,832
15,亂,7+5+3,64,897,960,896
16,亂,7+5+4,64,961,1024,960
17,亂,7+6+2,64,1025,1088,1024
18,亂,7+6+3,64,1089,1152,1088
19,亂,7+6+4,64,1153,1216,1152
20,亂,7+6+5,64,1217,1280,1216
21,亂,8+3+2,64,1281,1344,1280
22,亂,8+4+2,64,1345,1408,1344
23,亂,8+4+3,64,1409,1472,1408
24,亂,8+5+2,64,1473,1536,1472
25,亂,8+5+3,64,1537,1600,1536
26,亂,8+5+4,64,1601,1664,1600
27,亂,8+6+2,64,1665,1728,1664
28,亂,8+6+3,64,1729,1792,1728
29,亂,8+6+4,64,1793,1856,1792
30,亂,8+6+5,64,1857,1920,1856
31,亂,8+7+2,64,1921,1984,1920
32,亂,8+7+3,64,1985,2048,1984
33,亂,8+7+4,64,2049,2112,2048
34,亂,8+7+5,64,2113,2176,2112
35,亂,8+7+6,64,2177,2240,2176
36,亂,9+3+2,64,2241,2304,2240
37,亂,9+4+2,64,2305,2368,2304
38,亂,9+4+3,64,2369,2432,2368
39,亂,9+5+2,64,2433,2496,2432
40,亂,9+5+3,64,2497,2560,2496
41,亂,9+5+4,64,2561,2624,2560
42,亂,9+6+2,64,2625,2688,2624
43,亂,9+6+3,64,2689,2752,2688
44,亂,9+6+4,64,2753,2816,2752
45,亂,9+6+5,64,2817,2880,2816
46,亂,9+7+2,64,2881,2944,2880
47,亂,9+7+3,64,2945,3008,2944
48,亂,9+7+4,64,3009,3072,3008
49,亂,9+7+5,64,3073,3136,3072
50,亂,9+7+6,64,3137,3200,3136
51,亂,9+8+2,64,3201,3264,3200
52,亂,9+8+3,64,3265,3328,3264
53,亂,9+8+4,64,3329,3392,3328
54,亂,9+8+5,64,3393,3456,3392
55,亂,9+8+6,64,3457,3520,3456
56,亂,9+8+7,64,3521,3584,3520
57,亂,10+3+2,64,3585,3648,3584
58,亂,10+4+2,64,3649,3712,3648
59,亂,10+4+3,64,3713,3776,3712
60,亂,10+5+2,64,3777,3840,3776
61,亂,10+5+3,64,3841,3904,3840
62,亂,10+5+4,64,3905,3968,3904
63,亂,10+6+2,64,3969,4032,3968
64,亂,10+6+3,64,4033,4096,4032
65,亂,10+6+4,64,4097,4160,4096
66,亂,10+6+5,64,4161,4224,4160
67,亂,10+7+2,64,4225,4288,4224
68,亂,10+7+3,64,4289,4352,4288
69,亂,10+7+4,64,4353,4416,4352
70,亂,10+7+5,64,4417,4480,4416
71,亂,10+7+6,64,4481,4544,4480
72,亂,10+8+2,64,4545,4608,4544
73,亂,10+8+3,64,4609,4672,4608
74,亂,10+8+4,64,4673,4736,4672
75,亂,10+8+5,64,4737,4800,4736
76,亂,10+8+6,64,4801,4864,4800
77,亂,10+8+7,64,4865,4928,4864
78,亂,10+9+2,64,4929,4992,4928
79,亂,10+9+3,64,4993,5056,4992
80,亂,10+9+4,64,5057,5120,5056
81,亂,10+9+5,64,5121,5184,5120
82,亂,10+9+6,64,5185,5248,5184
83,亂,10+9+7,64,5249,5312,5248
84,亂,10+9+8,64,5313,5376,5312
85,亂,J+3+2,64,5377,5440,5376
86,亂,J+4+2,64,5441,5504,5440
87,亂,J+4+3,64,5505,5568,5504
88,亂,J+5+2,64,5569,5632,5568
89,亂,J+5+3,64,5633,5696,5632
90,亂,J+5+4,64,5697,5760,5696
91,亂,J+6+2,64,5761,5824,5760
92,亂,J+6+3,64,5825,5888,5824
93,亂,J+6+4,64,5889,5952,5888
94,亂,J+6+5,64,5953,6016,5952
95,亂,J+7+2,64,6017,6080,6016
96,亂,J+7+3,64,6081,6144,6080
97,亂,J+7+4,64,6145,6208,6144
98,亂,J+7+5,64,6209,6272,6208
99,亂,J+7+6,64,6273,6336,6272
100,亂,J+8+2,64,6337,6400,6336
101,亂,J+8+3,64,6401,6464,6400
102,亂,J+8+4,64,6465,6528,6464
103,亂,J+8+5,64,6529,6592,6528
104,亂,J+8+6,64,6593,6656,6592
105,亂,J+8+7,64,6657,6720,6656
106,亂,J+9+2,64,6721,6784,6720
107,亂,J+9+3,64,6785,6848,6784
108,亂,J+9+4,64,6849,6912,6848
109,亂,J+9+5,64,6913,6976,6912
110,亂,J+9+6,64,6977,7040,6976
111,亂,J+9+7,64,7041,7104,7040
112,亂,J+9+8,64,7105,7168,7104
113,亂,J+10+2,64,7169,7232,7168
114,亂,J+10+3,64,7233,7296,7232
115,亂,J+10+4,64,7297,7360,7296
116,亂,J+10+5,64,7361,7424,7360
117,亂,J+10+6,64,7425,7488,7424
118,亂,J+10+7,64,7489,7552,7488
119,亂,J+10+8,64,7553,7616,7552
120,亂,J+10+9,64,7617,7680,7616
121,亂,Q+3+2,64,7681,7744,7680
122,亂,Q+4+2,64,7745,7808,7744
123,亂,Q+4+3,64,7809,7872,7808
124,亂,Q+5+2,64,7873,7936,7872
125,亂,Q+5+3,64,7937,8000,7936
126,亂,Q+5+4,64,8001,8064,8000
127,亂,Q+6+2,64,8065,8128,8064
128,亂,Q+6+3,64,8129,8192,8128
129,亂,Q+6+4,64,8193,8256,8192
130,亂,Q+6+5,64,8257,8320,8256
131,亂,Q+7+2,64,8321,8384,8320
132,亂,Q+7+3,64,8385,8448,8384
133,亂,Q+7+4,64,8449,8512,8448
134,亂,Q+7+5,64,8513,8576,8512
135,亂,Q+7+6,64,8577,8640,8576
136,亂,Q+8+2,64,8641,8704,8640
137,亂,Q+8+3,64,8705,8768,8704
138,亂,Q+8+4,64,8769,8832,8768
139,亂,Q+8+5,64,8833,8896,8832
140,亂,Q+8+6,64,8897,8960,8896
141,亂,Q+8+7,64,8961,9024,8960
142,亂,Q+9+2,64,9025,9088,9024
143,亂,Q+9+3,64,9089,9152,9088
144,亂,Q+9+4,64,9153,9216,9152
145,亂,Q+9+5,64,9217,9280,9216
146,亂,Q+9+6,64,9281,9344,9280
147,亂,Q+9+7,64,9345,9408,9344
148,亂,Q+9+8,64,9409,9472,9408
149,亂,Q+10+2,64,9473,9536,9472
150,亂,Q+10+3,64,9537,9600,9536
151,亂,Q+10+4,64,9601,9664,9600
152,亂,Q+10+5,64,9665,9728,9664
153,亂,Q+10+6,64,9729,9792,9728
154,亂,Q+10+7,64,9793,9856,9792
155,亂,Q+10+8,64,9857,9920,9856
156,亂,Q+10+9,64,9921,9984,9920
157,亂,Q+J+2,64,9985,10048,9984
158,亂,Q+J+3,64,10049,10112,10048
159,亂,Q+J+4,64,10113,10176,10112
160,亂,Q+J+5,64,10177,10240,10176
161,亂,Q+J+6,64,10241,10304,10240
162,亂,Q+J+7,64,10305,10368,10304
163,亂,Q+J+8,64,10369,10432,10368
164,亂,Q+J+9,64,10433,10496,10432
165,亂,Q+J+10,64,10497,10560,10496
166,亂,K+3+2,64,10561,10624,10560
167,亂,K+4+2,64,10625,10688,10624
168,亂,K+4+3,64,10689,10752,10688
169,亂,K+5+2,64,10753,10816,10752
170,亂,K+5+3,64,10817,10880,10816
171,亂,K+5+4,64,10881,10944,10880
172,亂,K+6+2,64,10945,11008,10944
173,亂,K+6+3,64,11009,11072,11008
174,亂,K+6+4,64,11073,11136,11072
175,亂,K+6+5,64,11137,11200,11136
176,亂,K+7+2,64,11201,11264,11200
177,亂,K+7+3,64,11265,11328,11264
178,亂,K+7+4,64,11329,11392,11328
179,亂,K+7+5,64,11393,11456,11392
180,亂,K+7+6,64,11457,11520,11456
181,亂,K+8+2,64,11521,11584,11520
182,亂,K+8+3,64,11585,11648,11584
183,亂,K+8+4,64,11649,11712,11648
184,亂,K+8+5,64,11713,11776,11712
185,亂,K+8+6,64,11777,11840,11776
186,亂,K+8+7,64,11841,11904,11840
187,亂,K+9+2,64,11905,11968,11904
188,亂,K+9+3,64,11969,12032,11968
189,亂,K+9+4,64,12033,12096,12032
190,亂,K+9+5,64,12097,12160,12096
191,亂,K+9+6,64,12161,12224,12160
192,亂,K+9+7,64,12225,12288,12224
193,亂,K+9+8,64,12289,12352,12288
194,亂,K+10+2,64,12353,12416,12352
195,亂,K+10+3,64,12417,12480,12416
196,亂,K+10+4,64,12481,12544,12480
197,亂,K+10+5,64,12545,12608,12544
198,亂,K+10+6,64,12609,12672,12608
199,亂,K+10+7,64,12673,12736,12672
200,亂,K+10+8,64,12737,12800,12736
201,亂,K+10+9,64,12801,12864,12800
202,亂,K+J+2,64,12865,12928,12864
203,亂,K+J+3,64,12929,12992,12928
204,亂,K+J+4,64,12993,13056,12992
205,亂,K+J+5,64,13057,13120,13056
206,亂,K+J+6,64,13121,13184,13120
207,亂,K+J+7,64,13185,13248,13184
208,亂,K+J+8,64,13249,13312,13248
209,亂,K+J+9,64,13313,13376,13312
210,亂,K+J+10,64,13377,13440,13376
211,亂,K+Q+2,64,13441,13504,13440
212,亂,K+Q+3,64,13505,13568,13504
213,亂,K+Q+4,64,13569,13632,13568
214,亂,K+Q+5,64,13633,13696,13632
215,亂,K+Q+6,64,13697,13760,13696
216,亂,K+Q+7,64,13761,13824,13760
217,亂,K+Q+8,64,13825,13888,13824
218,亂,K+Q+9,64,13889,13952,13888
219,亂,K+Q+10,64,13953,14016,13952
220,亂,K+Q+J,64,14017,14080,14016
221,亂,A+3+2,64,14081,14144,14080
222,亂,A+4+2,64,14145,14208,14144
223,亂,A+4+3,64,14209,14272,14208
224,亂,A+5+2,64,14273,14336,14272
225,亂,A+5+3,64,14337,14400,14336
226,亂,A+5+4,64,14401,14464,14400
227,亂,A+6+2,64,14465,14528,14464
228,亂,A+6+3,64,14529,14592,14528
229,亂,A+6+4,64,14593,14656,14592
230,亂,A+6+5,64,14657,14720,14656
231,亂,A+7+2,64,14721,14784,14720
232,亂,A+7+3,64,14785,14848,14784
233,亂,A+7+4,64,14849,14912,14848
234,亂,A+7+5,64,14913,14976,14912
235,亂,A+7+6,64,14977,15040,14976
236,亂,A+8+2,64,15041,15104,15040
237,亂,A+8+3,64,15105,15168,15104
238,亂,A+8+4,64,15169,15232,15168
239,亂,A+8+5,64,15233,15296,15232
240,亂,A+8+6,64,15297,15360,15296
241,亂,A+8+7,64,15361,15424,15360
242,亂,A+9+2,64,15425,15488,15424
243,亂,A+9+3,64,15489,15552,15488
244,亂,A+9+4,64,15553,15616,15552
245,亂,A+9+5,64,15617,15680,15616
246,亂,A+9+6,64,15681,15744,15680
247,亂,A+9+7,64,15745,15808,15744
248,亂,A+9+8,64,15809,15872,15808
249,亂,A+10+2,64,15873,15936,15872
250,亂,A+10+3,64,15937,16000,15936
251,亂,A+10+4,64,16001,16064,16000
252,亂,A+10+5,64,16065,16128,16064
253,亂,A+10+6,64,16129,16192,16128
254,亂,A+10+7,64,16193,16256,16192
255,亂,A+10+8,64,16257,16320,16256
256,亂,A+10+9,64,16321,16384,16320
257,亂,A+J+2,64,16385,16448,16384
258,亂,A+J+3,64,16449,16512,16448
259,亂,A+J+4,64,16513,16576,16512
260,亂,A+J+5,64,16577,16640,16576
261,亂,A+J+6,64,16641,16704,16640
262,亂,A+J+7,64,16705,16768,16704
263,亂,A+J+8,64,16769,16832,16768
264,亂,A+J+9,64,16833,16896,16832
265,亂,A+J+10,64,16897,16960,16896
266,亂,A+Q+2,64,16961,17024,16960
267,亂,A+Q+3,64,17025,17088,17024
268,亂,A+Q+4,64,17089,17152,17088
269,亂,A+Q+5,64,17153,17216,17152
270,亂,A+Q+6,64,17217,17280,17216
271,亂,A+Q+7,64,17281,17344,17280
272,亂,A+Q+8,64,17345,17408,17344
273,亂,A+Q+9,64,17409,17472,17408
274,亂,A+Q+10,64,17473,17536,17472
275,亂,A+Q+J,64,17537,17600,17536
276,亂,A+K+2,64,17601,17664,17600
277,亂,A+K+3,64,17665,17728,17664
278,亂,A+K+4,64,17729,17792,17728
279,亂,A+K+5,64,17793,17856,17792
280,亂,A+K+6,64,17857,17920,17856
281,亂,A+K+7,64,17921,17984,17920
282,亂,A+K+8,64,17985,18048,17984
283,亂,A+K+9,64,18049,18112,18048
284,亂,A+K+10,64,18113,18176,18112
285,亂,A+K+J,64,18177,18240,18176
286,亂,A+K+Q,64,18241,18304,18240
287,一對,22+3,24,18305,18328,18304
288,一對,22+4,24,18329,18352,18328
289,一對,22+5,24,18353,18376,18352
290,一對,22+6,24,18377,18400,18376
291,一對,22+7,24,18401,18424,18400
292,一對,22+8,24,18425,18448,18424
293,一對,22+9,24,18449,18472,18448
294,一對,22+10,24,18473,18496,18472
295,一對,22+J,24,18497,18520,18496
296,一對,22+Q,24,18521,18544,18520
297,一對,22+K,24,18545,18568,18544
298,一對,22+A,24,18569,18592,18568
299,一對,33+2,24,18593,18616,18592
300,一對,33+4,24,18617,18640,18616
301,一對,33+5,24,18641,18664,18640
302,一對,33+6,24,18665,18688,18664
303,一對,33+7,24,18689,18712,18688
304,一對,33+8,24,18713,18736,18712
305,一對,33+9,24,18737,18760,18736
306,一對,33+10,24,18761,18784,18760
307,一對,33+J,24,18785,18808,18784
308,一對,33+Q,24,18809,18832,18808
309,一對,33+K,24,18833,18856,18832
310,一對,33+A,24,18857,18880,18856
311,一對,44+2,24,18881,18904,18880
312,一對,44+3,24,18905,18928,18904
313,一對,44+5,24,18929,18952,18928
314,一對,44+6,24,18953,18976,18952
315,一對,44+7,24,18977,19000,18976
316,一對,44+8,24,19001,19024,19000
317,一對,44+9,24,19025,19048,19024
318,一對,44+10,24,19049,19072,19048
319,一對,44+J,24,19073,19096,19072
320,一對,44+Q,24,19097,19120,19096
321,一對,44+K,24,19121,19144,19120
322,一對,44+A,24,19145,19168,19144
323,一對,55+2,24,19169,19192,19168
324,一對,55+3,24,19193,19216,19192
325,一對,55+4,24,19217,19240,19216
326,一對,55+6,24,19241,19264,19240
327,一對,55+7,24,19265,19288,19264
328,一對,55+8,24,19289,19312,19288
329,一對,55+9,24,19313,19336,19312
330,一對,55+10,24,19337,19360,19336
331,一對,55+J,24,19361,19384,19360
332,一對,55+Q,24,19385,19408,19384
333,一對,55+K,24,19409,19432,19408
334,一對,55+A,24,19433,19456,19432
335,一對,66+2,24,19457,19480,19456
336,一對,66+3,24,19481,19504,19480
337,一對,66+4,24,19505,19528,19504
338,一對,66+5,24,19529,19552,19528
339,一對,66+7,24,19553,19576,19552
340,一對,66+8,24,19577,19600,19576
341,一對,66+9,24,19601,19624,19600
342,一對,66+10,24,19625,19648,19624
343,一對,66+J,24,19649,19672,19648
344,一對,66+Q,24,19673,19696,19672
345,一對,66+K,24,19697,19720,19696
346,一對,66+A,24,19721,19744,19720
347,一對,77+2,24,19745,19768,19744
348,一對,77+3,24,19769,19792,19768
349,一對,77+4,24,19793,19816,19792
350,一對,77+5,24,19817,19840,19816
351,一對,77+6,24,19841,19864,19840
352,一對,77+8,24,19865,19888,19864
353,一對,77+9,24,19889,19912,19888
354,一對,77+10,24,19913,19936,19912
355,一對,77+J,24,19937,19960,19936
356,一對,77+Q,24,19961,19984,19960
357,一對,77+K,24,19985,20008,19984
358,一對,77+A,24,20009,20032,20008
359,一對,88+2,24,20033,20056,20032
360,一對,88+3,24,20057,20080,20056
361,一對,88+4,24,20081,20104,20080
362,一對,88+5,24,20105,20128,20104
363,一對,88+6,24,20129,20152,20128
364,一對,88+7,24,20153,20176,20152
365,一對,88+9,24,20177,20200,20176
366,一對,88+10,24,20201,20224,20200
367,一對,88+J,24,20225,20248,20224
368,一對,88+Q,24,20249,20272,20248
369,一對,88+K,24,20273,20296,20272
370,一對,88+A,24,20297,20320,20296
371,一對,99+2,24,20321,20344,20320
372,一對,99+3,24,20345,20368,20344
373,一對,99+4,24,20369,20392,20368
374,一對,99+5,24,20393,20416,20392
375,一對,99+6,24,20417,20440,20416
376,一對,99+7,24,20441,20464,20440
377,一對,99+8,24,20465,20488,20464
378,一對,99+10,24,20489,20512,20488
379,一對,99+J,24,20513,20536,20512
380,一對,99+Q,24,20537,20560,20536
381,一對,99+K,24,20561,20584,20560
382,一對,99+A,24,20585,20608,20584
383,一對,1010+2,24,20609,20632,20608
384,一對,1010+3,24,20633,20656,20632
385,一對,1010+4,24,20657,20680,20656
386,一對,1010+5,24,20681,20704,20680
387,一對,1010+6,24,20705,20728,20704
388,一對,1010+7,24,20729,20752,20728
389,一對,1010+8,24,20753,20776,20752
390,一對,1010+9,24,20777,20800,20776
391,一對,1010+J,24,20801,20824,20800
392,一對,1010+Q,24,20825,20848,20824
393,一對,1010+K,24,20849,20872,20848
394,一對,1010+A,24,20873,20896,20872
395,一對,JJ+2,24,20897,20920,20896
396,一對,JJ+3,24,20921,20944,20920
397,一對,JJ+4,24,20945,20968,20944
398,一對,JJ+5,24,20969,20992,20968
399,一對,JJ+6,24,20993,21016,20992
400,一對,JJ+7,24,21017,21040,21016
401,一對,JJ+8,24,21041,21064,21040
402,一對,JJ+9,24,21065,21088,21064
403,一對,JJ+10,24,21089,21112,21088
404,一對,JJ+Q,24,21113,21136,21112
405,一對,JJ+K,24,21137,21160,21136
406,一對,JJ+A,24,21161,21184,21160
407,一對,QQ+2,24,21185,21208,21184
408,一對,QQ+3,24,21209,21232,21208
409,一對,QQ+4,24,21233,21256,21232
410,一對,QQ+5,24,21257,21280,21256
411,一對,QQ+6,24,21281,21304,21280
412,一對,QQ+7,24,21305,21328,21304
413,一對,QQ+8,24,21329,21352,21328
414,一對,QQ+9,24,21353,21376,21352
415,一對,QQ+10,24,21377,21400,21376
416,一對,QQ+J,24,21401,21424,21400
417,一對,QQ+K,24,21425,21448,21424
418,一對,QQ+A,24,21449,21472,21448
419,一對,KK+2,24,21473,21496,21472
