位階排名,牌型,牌面,花色變體數,位置起(1-based),位置訖,千萬位percentile,位階名次%
1,一對,66+432,384,1,384,10.43,0.0189
2,一對,66+532,384,385,768,4016.69,0.0377
3,一對,66+542,384,769,1152,8022.95,0.0566
4,一對,66+543,384,1153,1536,12029.21,0.0754
5,一對,66+732,384,1537,1920,16035.47,0.0943
6,一對,66+742,384,1921,2304,20041.73,0.1131
7,一對,66+743,384,2305,2688,24047.99,0.132
8,一對,66+752,384,2689,3072,28054.25,0.1508
9,一對,66+753,384,3073,3456,32060.51,0.1697
10,一對,66+754,384,3457,3840,36066.77,0.1885
11,一對,66+832,384,3841,4224,40073.03,0.2074
12,一對,66+842,384,4225,4608,44079.29,0.2262
13,一對,66+843,384,4609,4992,48085.55,0.2451
14,一對,66+852,384,4993,5376,52091.81,0.2639
15,一對,66+853,384,5377,5760,56098.07,0.2828
16,一對,66+854,384,5761,6144,60104.33,0.3016
17,一對,66+872,384,6145,6528,64110.59,0.3205
18,一對,66+873,384,6529,6912,68116.85,0.3393
19,一對,66+874,384,6913,7296,72123.11,0.3582
20,一對,66+875,384,7297,7680,76129.37,0.377
21,一對,66+932,384,7681,8064,80135.63,0.3959
22,一對,66+942,384,8065,8448,84141.89,0.4147
23,一對,66+943,384,8449,8832,88148.15,0.4336
24,一對,66+952,384,8833,9216,92154.41,0.4524
25,一對,66+953,384,9217,9600,96160.67,0.4713
26,一對,66+954,384,9601,9984,100166.93,0.4901
27,一對,66+972,384,9985,10368,104173.19,0.509
28,一對,66+973,384,10369,10752,108179.45,0.5278
29,一對,66+974,384,10753,11136,112185.71,0.5467
30,一對,66+975,384,11137,11520,116191.97,0.5655
31,一對,66+982,384,11521,11904,120198.23,0.5844
32,一對,66+983,384,11905,12288,124204.49,0.6032
33,一對,66+984,384,12289,12672,128210.75,0.6221
34,一對,66+985,384,12673,13056,132217.01,0.6409
35,一對,66+987,384,13057,13440,136223.27,0.6598
36,一對,66+1032,384,13441,13824,140229.53,0.6786
37,一對,66+1042,384,13825,14208,144235.79,0.6975
38,一對,66+1043,384,14209,14592,148242.04,0.7163
39,一對,66+1052,384,14593,14976,152248.3,0.7352
40,一對,66+1053,384,14977,15360,156254.56,0.754
41,一對,66+1054,384,15361,15744,160260.82,0.7729
42,一對,66+1072,384,15745,16128,164267.08,0.7917
43,一對,66+1073,384,16129,16512,168273.34,0.8106
44,一對,66+1074,384,16513,16896,172279.6,0.8294
45,一對,66+1075,384,16897,17280,176285.86,0.8483
46,一對,66+1082,384,17281,17664,180292.12,0.8671
47,一對,66+1083,384,17665,18048,184298.38,0.886
48,一對,66+1084,384,18049,18432,188304.64,0.9048
49,一對,66+1085,384,18433,18816,192310.9,0.9237
50,一對,66+1087,384,18817,19200,196317.16,0.9425
51,一對,66+1092,384,19201,19584,200323.42,0.9614
52,一對,66+1093,384,19585,19968,204329.68,0.9802
53,一對,66+1094,384,19969,20352,208335.94,0.9991
54,一對,66+1095,384,20353,20736,212342.2,1.0179
55,一對,66+1097,384,20737,21120,216348.46,1.0368
56,一對,66+1098,384,21121,21504,220354.72,1.0556
57,一對,66+J32,384,21505,21888,224360.98,1.0745
58,一對,66+J42,384,21889,22272,228367.24,1.0933
59,一對,66+J43,384,22273,22656,232373.5,1.1122
60,一對,66+J52,384,22657,23040,236379.76,1.131
61,一對,66+J53,384,23041,23424,240386.02,1.1499
62,一對,66+J54,384,23425,23808,244392.28,1.1687
63,一對,66+J72,384,23809,24192,248398.54,1.1876
64,一對,66+J73,384,24193,24576,252404.8,1.2064
65,一對,66+J74,384,24577,24960,256411.06,1.2253
66,一對,66+J75,384,24961,25344,260417.32,1.2441
67,一對,66+J82,384,25345,25728,264423.58,1.263
68,一對,66+J83,384,25729,26112,268429.84,1.2818
69,一對,66+J84,384,26113,26496,272436.1,1.3007
70,一對,66+J85,384,26497,26880,276442.36,1.3195
71,一對,66+J87,384,26881,27264,280448.62,1.3384
72,一對,66+J92,384,27265,27648,284454.88,1.3572
73,一對,66+J93,384,27649,28032,288461.14,1.3761
74,一對,66+J94,384,28033,28416,292467.4,1.3949
75,一對,66+J95,384,28417,28800,296473.66,1.4138
76,一對,66+J97,384,28801,29184,300479.92,1.4326
