位階排名,牌型,牌面,花色變體數,位置起(1-based),位置訖,千萬位percentile,位階名次%
1,亂,75432亂,1020,1,1020,3.85,0.0134
2,亂,76432亂,1020,1021,2040,3928.49,0.0268
3,亂,76532亂,1020,2041,3060,7853.14,0.0402
4,亂,76542亂,1020,3061,4080,11777.79,0.0536
5,亂,85432亂,1020,4081,5100,15702.43,0.067
6,亂,86432亂,1020,5101,6120,19627.08,0.0804
7,亂,86532亂,1020,6121,7140,23551.73,0.0938
8,亂,86542亂,1020,7141,8160,27476.38,0.1072
9,亂,86543亂,1020,8161,9180,31401.02,0.1206
10,亂,87432亂,1020,9181,10200,35325.67,0.134
11,亂,87532亂,1020,10201,11220,39250.32,0.1474
12,亂,87542亂,1020,11221,12240,43174.96,0.1608
13,亂,87543亂,1020,12241,13260,47099.61,0.1742
14,亂,87632亂,1020,13261,14280,51024.26,0.1876
15,亂,87642亂,1020,14281,15300,54948.9,0.201
16,亂,87643亂,1020,15301,16320,58873.55,0.2144
17,亂,87652亂,1020,16321,17340,62798.2,0.2278
18,亂,87653亂,1020,17341,18360,66722.84,0.2412
19,亂,95432亂,1020,18361,19380,70647.49,0.2546
20,亂,96432亂,1020,19381,20400,74572.14,0.268
21,亂,96532亂,1020,20401,21420,78496.78,0.2814
22,亂,96542亂,1020,21421,22440,82421.43,0.2948
23,亂,96543亂,1020,22441,23460,86346.08,0.3082
24,亂,97432亂,1020,23461,24480,90270.72,0.3216
25,亂,97532亂,1020,24481,25500,94195.37,0.335
26,亂,97542亂,1020,25501,26520,98120.02,0.3484
27,亂,97543亂,1020,26521,27540,102044.66,0.3618
28,亂,97632亂,1020,27541,28560,105969.31,0.3752
29,亂,97642亂,1020,28561,29580,109893.96,0.3886
30,亂,97643亂,1020,29581,30600,113818.6,0.402
31,亂,97652亂,1020,30601,31620,117743.25,0.4154
32,亂,97653亂,1020,31621,32640,121667.9,0.4288
33,亂,97654亂,1020,32641,33660,125592.54,0.4422
34,亂,98432亂,1020,33661,34680,129517.19,0.4556
35,亂,98532亂,1020,34681,35700,133441.84,0.469
36,亂,98542亂,1020,35701,36720,137366.49,0.4824
37,亂,98543亂,1020,36721,37740,141291.13,0.4958
38,亂,98632亂,1020,37741,38760,145215.78,0.5092
39,亂,98642亂,1020,38761,39780,149140.43,0.5226
40,亂,98643亂,1020,39781,40800,153065.07,0.536
41,亂,98652亂,1020,40801,41820,156989.72,0.5495
42,亂,98653亂,1020,41821,42840,160914.37,0.5629
43,亂,98654亂,1020,42841,43860,164839.01,0.5763
44,亂,98732亂,1020,43861,44880,168763.66,0.5897
45,亂,98742亂,1020,44881,45900,172688.31,0.6031
46,亂,98743亂,1020,45901,46920,176612.95,0.6165
47,亂,98752亂,1020,46921,47940,180537.6,0.6299
48,亂,98753亂,1020,47941,48960,184462.25,0.6433
49,亂,98754亂,1020,48961,49980,188386.89,0.6567
50,亂,98762亂,1020,49981,51000,192311.54,0.6701
51,亂,98763亂,1020,51001,52020,196236.19,0.6835
52,亂,98764亂,1020,52021,53040,200160.83,0.6969
53,亂,105432亂,1020,53041,54060,204085.48,0.7103
54,亂,106432亂,1020,54061,55080,208010.13,0.7237
55,亂,106532亂,1020,55081,56100,211934.77,0.7371
56,亂,106542亂,1020,56101,57120,215859.42,0.7505
57,亂,106543亂,1020,57121,58140,219784.07,0.7639
58,亂,107432亂,1020,58141,59160,223708.71,0.7773
59,亂,107532亂,1020,59161,60180,227633.36,0.7907
60,亂,107542亂,1020,60181,61200,231558.01,0.8041
61,亂,107543亂,1020,61201,62220,235482.65,0.8175
62,亂,107632亂,1020,62221,63240,239407.3,0.8309
63,亂,107642亂,1020,63241,64260,243331.95,0.8443
64,亂,107643亂,1020,64261,65280,247256.59,0.8577
65,亂,107652亂,1020,65281,66300,251181.24,0.8711
